,name,surname,scopus_id,pubs
0,Przemysław,Błaśkiewicz,35067793600,"[['35067793600', '14630697800', '55416077000'], ['35067793600', '7004104546', '36662582300', '35073203500'], ['35067793600', '24802815900', '16303045700', '36197865500'], ['35067793600', '55914696700', '7004104546', '55416077000'], ['35067793600', '55914696700', '25651989600', '55416077000'], ['35067793600', '7004104546', '55416251200', '55004766900'], ['35067793600', '14054168800', '7004104546'], ['35067793600', '14054168800', '7004104546'], ['55489091500', '35067793600', '55914696700', '7004104546'], ['35067793600', '14629926700', '7004104546', '25651989600'], ['7004104546', '35067793600', '14630697800', '14054168800', '54394002400', '36500281900'], ['35067793600', '35067952600', '55914696700', '25651989600']]"
1,Dominik,Bojko,None,None
2,Liliana,Bujkiewicz,6506394842,"[['7801589482', '6507067300', '56665307400', '6506394842', '6506015154'], ['7004173659', '6603593695', '6507453304', '6506394842'], ['7004173659', '6603593695', '6507453304', '6506394842'], ['6506394842', '7004173659'], ['6506394842', '7004173659', '6601969480', '6602106460'], ['6506394842', '7004173659', '6601969480', '6602106460']]"
3,Jacek,Cichoń,14629926700,"[['14629926700', '6603253976', '15829962800'], ['14629926700', '57193871747'], ['14629926700', '24605392900', '24802815900'], ['14629926700', '57193871747'], ['14629926700', '7004104546', '55004766900'], ['14629926700', '57193790630', '57193789637', '56312089300'], ['7004104546', '14629926700', '55440635800', '55440412000', '57195278161', '55746062900'], ['14629926700', '36647523100', '55914696700'], ['14629926700', '55914696700', '24605392900'], ['14629926700', '55914696700'], ['14629926700', '36647523100', '36647672700'], ['14629926700', '24766310900', '55601798100', '55914696700'], ['14629926700', '36662582300', '24802815900'], ['14629926700', '36662582300', '24802815900'], ['14629926700', '36662582300', '35586536800', '24802815900'], ['14629926700', '54889001900'], ['14629926700', '36647523100', '36647672700'], ['14629926700', '36662582300', '24802815900'], ['14629926700', '55392044800', '6603253976', '20734880100'], ['35067793600', '14629926700', '7004104546', '25651989600'], ['14629926700', '24766310900', '7004104546'], ['14629926700', '36647523100', '36662582300', '24802815900'], ['14629926700', '36647523100', '36647672700'], ['14629926700', '36107354500'], ['14629926700', '24766310900', '7004104546'], ['14629926700', '35519754800', '7004104546'], ['14629926700', '35195375800', '24724680600'], ['14629926700', '35195428600', '35196082600'], ['14629926700', '24605392900', '22034864500'], ['14629926700', '55914696700', '7004104546'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '7004104546'], ['7004104546', '14629926700', '14054168800'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '55914696700', '7004104546'], ['14629926700', '7004104546', '24793038300'], ['14629926700', '35196082600', '36647523100', '24802815900'], ['14629926700', '55914696700', '14630697800', '23390098500', '7007180231'], ['14629926700', '55914696700', '7004104546'], ['14629926700', '55392044800', '6603253976'], ['14629926700', '6603253976', '15829962800', '13610659900', '15830756800'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '14630697800', '7004104546', '8878449600'], ['14629926700', '35196082600'], ['14629926700', '16453447200'], ['14629926700', '35196082600', '6507628293', '36107354500'], ['14629926700', '7004415354', '6506076146', '24793038300'], ['14629926700', '55960849400'], ['14629926700', '16453447200', '24793038300'], ['14629926700'], ['14629926700', '6603253976'], ['14629926700', '6507628293', '57197152632'], ['14629926700', '14629926700']]"
4,Maciej,Gębala,24605392900,"[['14629926700', '24605392900', '24802815900'], ['14029989700', '24605392900', '7004104546'], ['14629926700', '55914696700', '24605392900'], ['7004104546', '24605392900'], ['14629926700', '24605392900', '22034864500'], ['24605392900', '14029989700'], ['24605392900'], ['24605392900'], ['24605392900']]"
5,Zbigniew,Gołębiewski,24766310900,"[['24766310900', '57208706093'], ['14036968000', '6603077626', '24766310900'], ['14036968000', '6602860937', '6603077626', '24766310900'], ['24766310900', '56526728700', '35586536800'], ['24766310900', '56526728700', '35586536800'], ['24766310900', '55601798100', '36662582300', '25651989600'], ['6603077626', '24766310900'], ['14629926700', '24766310900', '55601798100', '55914696700'], ['24766310900', '25651989600', '55892139700', '24802815900'], ['14629926700', '24766310900', '7004104546'], ['14629926700', '24766310900', '7004104546'], ['24766310900', '7004104546', '55892139700', '8848855500'], ['24766310900', '35092738900', '55914696700', '7004104546'], ['24766310900', '55914696700', '35092738900', '7004104546'], ['24766310900', '25651989600', '55892139700'], ['24766310900', '7004104546', '7006153730', '55892139700'], ['24766310900', '7004104546', '55892139700']]"
6,Karol,Gotfryd,57193871747,"[['14629926700', '57193871747'], ['57193871747', '15132409800', '55892139700'], ['14629926700', '57193871747'], ['57193871747', '55914696700', '55336905000']]"
7,Lucjan,Hanzlik,55440635800,"[['6603696569', '36871555900', '55440635800', '55440412000', '55949594600'], ['6603696569', '55440635800', '7006812302', '23397437100', '56741270900'], ['55440412000', '55440635800', '55746062900'], ['6603696569', '55440635800', '55440412000', '55949594600'], ['55440635800', '55440412000'], ['55416251200', '55440635800'], ['55440635800', '55440412000'], ['55440635800', '55440412000', '7004104546'], ['7004104546', '14629926700', '55440635800', '55440412000', '57195278161', '55746062900'], ['55440635800', '55440412000', '7004104546'], ['55440635800', '55440412000', '7004104546'], ['55416251200', '55440635800'], ['55440635800', '7004104546'], ['55416251200', '55440635800', '55440412000'], ['55440412000', '55440635800', '7004104546'], ['7004104546', '55440635800', '55440412000'], ['55440635800', '55440412000', '7004104546', '7006002941'], ['55440635800', '7004104546'], ['55440635800', '14054168800', '7004104546'], ['55440635800', '7004104546', '56837857800'], ['55440635800', '14054168800', '7004104546'], ['55440412000', '55440635800', '14054168800', '7004104546'], ['25633713900', '6602107651', '55440635800', '35753365500', '23393478500', '8626085200'], ['55440635800', '55440412000'], ['55440635800', '55440412000'], ['55440635800', '55440412000', '7004104546'], ['55440635800', '55440412000', '7004104546', '14630697800'], ['7004104546', '55440635800', '55440412000', '14054168800', '14630697800'], ['55440635800', '55440412000', '14630697800', '7004104546'], ['55440635800', '55416251200'], ['55440635800', '14630697800', '7004104546'], ['55821596000', '55440635800', '14054168800', '7004104546'], ['55440635800', '55440412000', '14054168800', '7004104546']]"
8,Rafał,Kapelko,36647523100,"[['36647523100'], ['36647523100'], ['36647523100'], ['36647523100'], ['36647523100', '7007113015'], ['36647523100', '7007113015'], ['36647523100', '7007113015'], ['36647523100', '36647672700'], ['14629926700', '36647523100', '55914696700'], ['6603657271', '23008733700', '36647523100'], ['36647523100'], ['14629926700', '36647523100', '36647672700'], ['36647523100'], ['36647523100'], ['14629926700', '36647523100', '36647672700'], ['14629926700', '36647523100', '36662582300', '24802815900'], ['14629926700', '36647523100', '36647672700'], ['6603657271', '23008733700', '36647523100'], ['6603657271', '23008733700', '36647523100'], ['14629926700', '35196082600', '36647523100', '24802815900'], ['36647523100']]"
9,Marcin,Kik,14029989700,"[['14029989700', '24605392900', '7004104546'], ['14029989700'], ['14029989700'], ['24605392900', '14029989700'], ['14029989700'], ['14029989700'], ['14029989700'], ['14029989700'], ['7003874930', '7004104546', '14029989700'], ['14029989700', '7004104546', '56275174200']]"
