node1,node2
Grzegorz Pawlik,Antoni Mitus
Wojciech Radosz,Grzegorz Pawlik
Wojciech Radosz,Antoni Mitus
Grzegorz Pawlik,Antoni Mitus
Krzysztof Gawarecki,Mateusz Krzykowski
Pawel Machnikowski,Krzysztof Gawarecki
Arkadiusz Jedrzejewski,Katarzyna Sznajd-Weron
Andrzej Janutka,Kacper Brzuszek
Karol Kawa,Pawel Machnikowski
Bartlomiej Nowak,Katarzyna Sznajd-Weron
Jaroslaw Pawlowski,Katarzyna Sznajd-Weron
Andrzej Janutka,Kacper Brzuszek
Andrzej Wieckowski,Marcin Mierzejewski
Adam Mielnik-Pyszczorski,Krzysztof Gawarecki
Adam Mielnik-Pyszczorski,Pawel Machnikowski
Krzysztof Gawarecki,Pawel Machnikowski
Blazej Jaworowski,Piotr Kaczmarkiewicz
Blazej Jaworowski,Michal Kupczynski
Blazej Jaworowski,Pawel Potasz
Piotr Kaczmarkiewicz,Michal Kupczynski
Piotr Kaczmarkiewicz,Pawel Potasz
Michal Kupczynski,Pawel Potasz
Maciej Bieniek,Pawel Potasz
Adam Mielnik-Pyszczorski,Krzysztof Gawarecki
Adam Mielnik-Pyszczorski,Michal Gawelczyk
Adam Mielnik-Pyszczorski,Pawel Machnikowski
Krzysztof Gawarecki,Michal Gawelczyk
Krzysztof Gawarecki,Pawel Machnikowski
Michal Gawelczyk,Pawel Machnikowski
Michal Gawelczyk,Mateusz Krzykowski
Michal Gawelczyk,Krzysztof Gawarecki
Michal Gawelczyk,Pawel Machnikowski
Mateusz Krzykowski,Krzysztof Gawarecki
Mateusz Krzykowski,Pawel Machnikowski
Krzysztof Gawarecki,Pawel Machnikowski
Wojciech Radosz,Grzegorz Pawlik
Wojciech Radosz,Antoni Mitus
Grzegorz Pawlik,Antoni Mitus
Arkadiusz Jedrzejewski,Karina Weron
Marta Brzezinska,Maciej Bieniek
Marta Brzezinska,Tomasz Wozniak
Marta Brzezinska,Pawel Potasz
Maciej Bieniek,Tomasz Wozniak
Maciej Bieniek,Pawel Potasz
Tomasz Wozniak,Pawel Potasz
Andrzej Janutka,Kacper Brzuszek
Arkadiusz Jedrzejewski,Katarzyna Sznajd-Weron
Nafise Nouri,Maciej Bieniek
Nafise Nouri,Marta Brzezinska
Nafise Nouri,Pawel Potasz
Maciej Bieniek,Marta Brzezinska
Maciej Bieniek,Pawel Potasz
Marta Brzezinska,Pawel Potasz
Blazej Jaworowski,Piotr Kaczmarkiewicz
Blazej Jaworowski,Pawel Potasz
Piotr Kaczmarkiewicz,Pawel Potasz
Michal Kupczynski,Blazej Jaworowski
Michal Kupczynski,Piotr Kaczmarkiewicz
Michal Kupczynski,Pawel Potasz
Blazej Jaworowski,Piotr Kaczmarkiewicz
Blazej Jaworowski,Pawel Potasz
Piotr Kaczmarkiewicz,Pawel Potasz
Pawel Karwat,Krzysztof Gawarecki
Pawel Karwat,Pawel Machnikowski
Krzysztof Gawarecki,Pawel Machnikowski
Michal Gawelczyk,Krzysztof Gawarecki
Grzegorz Pawlik,Wojciech Radosz
Maciej Bieniek,Tomasz Wozniak
Maciej Bieniek,Pawel Potasz
Tomasz Wozniak,Pawel Potasz
Pawel Bugajny,Blazej Jaworowski
Pawel Bugajny,Pawel Potasz
Blazej Jaworowski,Pawel Potasz
Maciej Polak,Pawel Scharoch
Arkadiusz Jedrzejewski,Karina Weron
Wojciech Radosz,Adam Mielnik-Pyszczorski
Wojciech Radosz,Marta Brzezinska
Wojciech Radosz,Karina Weron
Adam Mielnik-Pyszczorski,Marta Brzezinska
Adam Mielnik-Pyszczorski,Karina Weron
Marta Brzezinska,Karina Weron
Arkadiusz Jedrzejewski,Anna Chmiel
Arkadiusz Jedrzejewski,Karina Weron
Anna Chmiel,Karina Weron
Anna Chmiel,Karina Weron
Michal Gawelczyk,Pawel Machnikowski
